id;entrega;diagnostico;comconpers;motivación
92;#N/D;0;0.833333333333333;0.6
93;0.25;0.5;0.633333333333333;0.6
94;0.9338;0.5;0.35;1
95;0.0881999999999999;1;0.6;0.6
96;0.9853;1;0.266666666666667;0.8
97;0.9191;0.5;0.266666666666667;1
98;0.8529;0;0.55;0.8
99;0.6838;0;0.466666666666667;0.2
100;0.0735;0;0.683333333333333;0.2
101;0.8015;1;0.3;0.8
102;0.4559;0;0.266666666666667;0.6
103;0.0147;1;0.483333333333333;0.2
104;0.875;1;0.516666666666667;0.6
105;0.8162;1;0.266666666666667;0.8
106;0.4412;0;0.35;0.6
107;0.375;1;0.366666666666667;1
108;0.3603;1;0.433333333333333;0.6
109;0.1176;0.5;0.516666666666667;0.4
110;0.7941;1;0.6;0.6
111;0.9706;0;0.2;1
112;0.4412;1;0.433333333333333;0.6
113;0.9412;0;0.266666666666667;1
114;0.7279;0.5;0.4;1
115;0.3162;1;0.6;0.6
116;0.4191;0.5;0.35;0.8
117;0.6176;0.5;0.2;0.6
118;0.9632;1;0.383333333333333;0.4
119;#N/D;1;0.383333333333333;1
120;0.7279;0.5;0.3;1
121;0.4338;1;0.266666666666667;1
122;0.2815;1;0.433333333333333;1
123;0.8529;1;0.266666666666667;0.4
124;0.0956;0;#N/D;0
125;0.9853;1;0.2;1
126;#N/D;1;0.266666666666667;1
127;0.7206;1;0.2;1
128;0.9928;1;0.133333333333333;1
129;0.7914;1;0.35;0.6
130;0.8921;1;0.894444444444444;0.6
131;0.1367;0;0.366666666666667;0.4
132;1,00;1;0.561111111111111;1
133;0.9778;1;0.561111111111111;1
134;0.0216;0;0.561111111111111;0.6
135;0.7556;1;0.561111111111111;0.6
136;0.0647;1;0.561111111111111;0.4
137;0.8058;0;0.55;1
138;0.9784;1;0.55;1
139;0.5036;1;0.55;1
140;0.8633;0;0.55;1
141;0.9856;0.5;0.55;0.8
142;0.8489;1;0.55;0.8
143;0.8201;1;0.55;0.8
144;0.8129;1;0.55;0.8
145;0.8;1;0.55;0.8
146;0.8696;1;0.55;0.8
147;0.21;0;0.55;0.6
148;0.9203;1;0.55;0.6
149;0.2681;0;0.55;0.2
150;0.7426;1;0.55;0.2
151;1,00;1;0.55;0.2
152;0.6739;1;0.533333333333333;0.4
153;0.8074;1;0.516666666666667;1
154;0.8963;1;0.516666666666667;1
155;0.8913;0;0.516666666666667;0.8
156;0.6259;0;0.516666666666667;0.6
157;0.2754;1;0.516666666666667;0.6
158;0.1667;1;0.516666666666667;0.6
159;0.4565;1;0.516666666666667;0.6
160;0.529;1;0.516666666666667;0.6
161;0.4219;1;0.516666666666667;0.6
162;0.6304;0;0.516666666666667;0.6
163;0.7554;1;0.516666666666667;0.4
164;0.8993;1;0.516666666666667;0.4
165;0.7101;1;0.516666666666667;0.4
166;0.4676;1;0.516666666666667;0.2
167;0.4317;0.5;0.516666666666667;0.2
168;0.7986;1;0.516666666666667;0.2
169;0,00;1;0.516666666666667;0.2
170;0.6957;1;0.516666666666667;0.2
171;0.558;1;0.516666666666667;0.2
172;0.6763;1;0.5;0.8
173;0.75;1;0.5;0.6
174;0.1511;0;0.5;0.4
175;0.3676;1;0.5;0.4
176;0.2302;1;0.5;0.2
177;0.9853;1;0.483333333333333;1
178;1,00;1;0.483333333333333;0.4
179;1,00;0;0.483333333333333;0.4
180;1,00;1;0.483333333333333;0.4
181;0.9926;1;0.477777777777778;1
